codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_malaria
310620,Belo Horizonte,2021,1,2021-1-01,0
310620,Belo Horizonte,2021,2,2021-2-01,1
310620,Belo Horizonte,2021,3,2021-3-01,1
310620,Belo Horizonte,2021,4,2021-4-01,0
310620,Belo Horizonte,2021,5,2021-5-01,0
310620,Belo Horizonte,2021,11,2021-11-01,0
311860,Contagem,2021,1,2021-1-01,0
311860,Contagem,2021,2,2021-2-01,0
311860,Contagem,2021,3,2021-3-01,3
311860,Contagem,2021,4,2021-4-01,0
311860,Contagem,2021,5,2021-5-01,0
311860,Contagem,2021,11,2021-11-01,0
312710,Frutal,2021,1,2021-1-01,1
312710,Frutal,2021,2,2021-2-01,0
312710,Frutal,2021,3,2021-3-01,0
312710,Frutal,2021,4,2021-4-01,0
312710,Frutal,2021,5,2021-5-01,0
312710,Frutal,2021,11,2021-11-01,0
312770,Governador Valadares,2021,1,2021-1-01,0
312770,Governador Valadares,2021,2,2021-2-01,0
312770,Governador Valadares,2021,3,2021-3-01,1
312770,Governador Valadares,2021,4,2021-4-01,0
312770,Governador Valadares,2021,5,2021-5-01,0
312770,Governador Valadares,2021,11,2021-11-01,0
313130,Ipatinga,2021,1,2021-1-01,0
313130,Ipatinga,2021,2,2021-2-01,0
313130,Ipatinga,2021,3,2021-3-01,0
313130,Ipatinga,2021,4,2021-4-01,1
313130,Ipatinga,2021,5,2021-5-01,1
313130,Ipatinga,2021,11,2021-11-01,0
313670,Juiz de Fora,2021,1,2021-1-01,1
313670,Juiz de Fora,2021,2,2021-2-01,0
313670,Juiz de Fora,2021,3,2021-3-01,0
313670,Juiz de Fora,2021,4,2021-4-01,0
313670,Juiz de Fora,2021,5,2021-5-01,0
313670,Juiz de Fora,2021,11,2021-11-01,0
315770,Santa Juliana,2021,1,2021-1-01,0
315770,Santa Juliana,2021,2,2021-2-01,1
315770,Santa Juliana,2021,3,2021-3-01,0
315770,Santa Juliana,2021,4,2021-4-01,0
315770,Santa Juliana,2021,5,2021-5-01,0
315770,Santa Juliana,2021,11,2021-11-01,0
316930,Três Corações,2021,1,2021-1-01,0
316930,Três Corações,2021,2,2021-2-01,1
316930,Três Corações,2021,3,2021-3-01,0
316930,Três Corações,2021,4,2021-4-01,0
316930,Três Corações,2021,5,2021-5-01,0
316930,Três Corações,2021,11,2021-11-01,0
317020,Uberlândia,2021,1,2021-1-01,0
317020,Uberlândia,2021,2,2021-2-01,0
317020,Uberlândia,2021,3,2021-3-01,0
317020,Uberlândia,2021,4,2021-4-01,0
317020,Uberlândia,2021,5,2021-5-01,0
317020,Uberlândia,2021,11,2021-11-01,1
317070,Varginha,2021,1,2021-1-01,0
317070,Varginha,2021,2,2021-2-01,0
317070,Varginha,2021,3,2021-3-01,0
317070,Varginha,2021,4,2021-4-01,0
317070,Varginha,2021,5,2021-5-01,0
317070,Varginha,2021,11,2021-11-01,1
310540,Barão de Cocais,2020,1,2020-1-01,1
310540,Barão de Cocais,2020,2,2020-2-01,0
310540,Barão de Cocais,2020,3,2020-3-01,0
310540,Barão de Cocais,2020,4,2020-4-01,0
310540,Barão de Cocais,2020,5,2020-5-01,0
310540,Barão de Cocais,2020,6,2020-6-01,0
310540,Barão de Cocais,2020,7,2020-7-01,0
310540,Barão de Cocais,2020,8,2020-8-01,0
310540,Barão de Cocais,2020,9,2020-9-01,0
310540,Barão de Cocais,2020,10,2020-10-01,0
310540,Barão de Cocais,2020,11,2020-11-01,0
310540,Barão de Cocais,2020,12,2020-12-01,0
310620,Belo Horizonte,2020,1,2020-1-01,5
310620,Belo Horizonte,2020,2,2020-2-01,3
310620,Belo Horizonte,2020,3,2020-3-01,3
310620,Belo Horizonte,2020,4,2020-4-01,1
310620,Belo Horizonte,2020,5,2020-5-01,0
310620,Belo Horizonte,2020,6,2020-6-01,0
310620,Belo Horizonte,2020,7,2020-7-01,1
310620,Belo Horizonte,2020,8,2020-8-01,0
310620,Belo Horizonte,2020,9,2020-9-01,0
310620,Belo Horizonte,2020,10,2020-10-01,4
310620,Belo Horizonte,2020,11,2020-11-01,2
310620,Belo Horizonte,2020,12,2020-12-01,0
310670,Betim,2020,1,2020-1-01,2
310670,Betim,2020,2,2020-2-01,0
310670,Betim,2020,3,2020-3-01,0
310670,Betim,2020,4,2020-4-01,0
310670,Betim,2020,5,2020-5-01,0
310670,Betim,2020,6,2020-6-01,0
310670,Betim,2020,7,2020-7-01,0
310670,Betim,2020,8,2020-8-01,0
310670,Betim,2020,9,2020-9-01,1
310670,Betim,2020,10,2020-10-01,0
310670,Betim,2020,11,2020-11-01,0
310670,Betim,2020,12,2020-12-01,0
310730,Bocaiúva,2020,1,2020-1-01,1
310730,Bocaiúva,2020,2,2020-2-01,0
310730,Bocaiúva,2020,3,2020-3-01,0
310730,Bocaiúva,2020,4,2020-4-01,0
310730,Bocaiúva,2020,5,2020-5-01,0
310730,Bocaiúva,2020,6,2020-6-01,0
310730,Bocaiúva,2020,7,2020-7-01,0
310730,Bocaiúva,2020,8,2020-8-01,0
310730,Bocaiúva,2020,9,2020-9-01,0
310730,Bocaiúva,2020,10,2020-10-01,0
310730,Bocaiúva,2020,11,2020-11-01,0
310730,Bocaiúva,2020,12,2020-12-01,0
311430,Carmo do Paranaíba,2020,1,2020-1-01,0
311430,Carmo do Paranaíba,2020,2,2020-2-01,0
311430,Carmo do Paranaíba,2020,3,2020-3-01,0
311430,Carmo do Paranaíba,2020,4,2020-4-01,0
311430,Carmo do Paranaíba,2020,5,2020-5-01,0
311430,Carmo do Paranaíba,2020,6,2020-6-01,0
311430,Carmo do Paranaíba,2020,7,2020-7-01,0
311430,Carmo do Paranaíba,2020,8,2020-8-01,0
311430,Carmo do Paranaíba,2020,9,2020-9-01,1
311430,Carmo do Paranaíba,2020,10,2020-10-01,0
311430,Carmo do Paranaíba,2020,11,2020-11-01,0
311430,Carmo do Paranaíba,2020,12,2020-12-01,0
311680,Coluna,2020,1,2020-1-01,0
311680,Coluna,2020,2,2020-2-01,0
311680,Coluna,2020,3,2020-3-01,0
311680,Coluna,2020,4,2020-4-01,0
311680,Coluna,2020,5,2020-5-01,0
311680,Coluna,2020,6,2020-6-01,1
311680,Coluna,2020,7,2020-7-01,0
311680,Coluna,2020,8,2020-8-01,0
311680,Coluna,2020,9,2020-9-01,0
311680,Coluna,2020,10,2020-10-01,0
311680,Coluna,2020,11,2020-11-01,0
311680,Coluna,2020,12,2020-12-01,0
311800,Congonhas,2020,1,2020-1-01,0
311800,Congonhas,2020,2,2020-2-01,0
311800,Congonhas,2020,3,2020-3-01,0
311800,Congonhas,2020,4,2020-4-01,0
311800,Congonhas,2020,5,2020-5-01,1
311800,Congonhas,2020,6,2020-6-01,0
311800,Congonhas,2020,7,2020-7-01,0
311800,Congonhas,2020,8,2020-8-01,0
311800,Congonhas,2020,9,2020-9-01,0
311800,Congonhas,2020,10,2020-10-01,0
311800,Congonhas,2020,11,2020-11-01,0
311800,Congonhas,2020,12,2020-12-01,0
311860,Contagem,2020,1,2020-1-01,0
311860,Contagem,2020,2,2020-2-01,0
311860,Contagem,2020,3,2020-3-01,1
311860,Contagem,2020,4,2020-4-01,0
311860,Contagem,2020,5,2020-5-01,0
311860,Contagem,2020,6,2020-6-01,0
311860,Contagem,2020,7,2020-7-01,0
311860,Contagem,2020,8,2020-8-01,0
311860,Contagem,2020,9,2020-9-01,0
311860,Contagem,2020,10,2020-10-01,0
311860,Contagem,2020,11,2020-11-01,1
311860,Contagem,2020,12,2020-12-01,1
311940,Coronel Fabriciano,2020,1,2020-1-01,0
311940,Coronel Fabriciano,2020,2,2020-2-01,0
311940,Coronel Fabriciano,2020,3,2020-3-01,0
311940,Coronel Fabriciano,2020,4,2020-4-01,0
311940,Coronel Fabriciano,2020,5,2020-5-01,0
311940,Coronel Fabriciano,2020,6,2020-6-01,0
311940,Coronel Fabriciano,2020,7,2020-7-01,0
311940,Coronel Fabriciano,2020,8,2020-8-01,0
311940,Coronel Fabriciano,2020,9,2020-9-01,0
311940,Coronel Fabriciano,2020,10,2020-10-01,0
311940,Coronel Fabriciano,2020,11,2020-11-01,0
311940,Coronel Fabriciano,2020,12,2020-12-01,1
312230,Divinópolis,2020,1,2020-1-01,0
312230,Divinópolis,2020,2,2020-2-01,0
312230,Divinópolis,2020,3,2020-3-01,0
312230,Divinópolis,2020,4,2020-4-01,0
312230,Divinópolis,2020,5,2020-5-01,0
312230,Divinópolis,2020,6,2020-6-01,0
312230,Divinópolis,2020,7,2020-7-01,0
312230,Divinópolis,2020,8,2020-8-01,0
312230,Divinópolis,2020,9,2020-9-01,0
312230,Divinópolis,2020,10,2020-10-01,1
312230,Divinópolis,2020,11,2020-11-01,0
312230,Divinópolis,2020,12,2020-12-01,0
312770,Governador Valadares,2020,1,2020-1-01,0
312770,Governador Valadares,2020,2,2020-2-01,0
312770,Governador Valadares,2020,3,2020-3-01,0
312770,Governador Valadares,2020,4,2020-4-01,0
312770,Governador Valadares,2020,5,2020-5-01,0
312770,Governador Valadares,2020,6,2020-6-01,0
312770,Governador Valadares,2020,7,2020-7-01,0
312770,Governador Valadares,2020,8,2020-8-01,1
312770,Governador Valadares,2020,9,2020-9-01,0
312770,Governador Valadares,2020,10,2020-10-01,0
312770,Governador Valadares,2020,11,2020-11-01,0
